Registro_ANS;CNPJ;Razao_Social;Nome_Fantasia;Modalidade;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP;DDD;Telefone;Fax;Endereco_eletronico;Representante;Cargo_Representante;Regiao_de_Comercializacao;Data_Registro_ANS
420255;2,21E+13;ALTER ADMINISTRADORA DE BENEFICIOS S.A.;;Administradora de BenefÃƒÂ­cios;Alameda Santos;2441;4Ã‚Âº andar, cjs 41 e 42, sala 01;Cerqueira CÃƒÂ©sar;SÃƒÂ£o Paulo;SP;1419101;11;39952217;;dpo@alter.com.br;PEDRO AUGUSTO BARQUETE DE REZENDE;ADMINISTRADOR;5;25/10/2016
344800;6,25E+13;ALVORECER - ASSOCIAÃƒâ€¡ÃƒÆ’O DE SOCORROS MÃƒÅ¡TUOS;ALVORECER;Medicina de Grupo;ALAMEDA SANTOS;1827;11 ANDAR SALA 111;CERQUEIRA CESAR;SÃƒÂ£o Paulo;SP;1419909;11;30169409;;regulatorio@bluemedsaude.com.br;SILVIO JOSÃƒâ€° FERRAZ TAVARES;PRESIDENTE;4;15/01/1999
424234;5,63E+13;AMAZIL ASSISTENCIA MEDICA DO BRASIL LTDA;AMAZIL   ;Medicina de Grupo;ESTRADA DO TINDIBA;1630;;TAQUARA;Rio de Janeiro;RJ;22740362;21;999434833;;leonardo@unimedicasaude.com;ADEBEEL DE SOUSA AVES;SOCIO ADMINISTRADOR;;02/12/2024
419052;1,69E+13;AMAZÃƒâ€NIA PLANOS DE SAÃƒÅ¡DE LTDA;PLANO AMAZÃƒâ€NIA SAÃƒÅ¡DE;Medicina de Grupo;TRAVESSA NOVE DE JANEIRO;1295;;SÃƒÆ’O BRAZ;BelÃƒÂ©m;PA;66060575;91;31847650;32495686;amasaude@amazoniaplanos.com.br;GILBERTO OSAMU YAMAMOTO;REPRESENTANTE LEGAL;6;03/10/2013
423351;4,66E+13;AME VVIDA PLANOS DE SAUDE INTEGRADO LTDA.;VIVA VIDA;Medicina de Grupo;AVENIDA CALAMA;2715;SALA 2715C;LIBERDADE ;Porto Velho;RO;76803883;69;93324444;;financeiro@operadoravivavida.com.br;ROMILDA VIANA DE PAES;SOCIO - ADMINISTRADOR;;03/10/2022
304531;1,71E+13;AME-ASSISTÃƒÅ NCIA MÃƒâ€°DICA A EMPRESAS LTDA;AME-SISTEMA DE SAÃƒÅ¡DE 24 HORAS;Medicina de Grupo;RUA SAMPAIO;376;;CENTRO;Juiz de Fora;MG;36010360;32;21015600;32155201;amesaude24h@terra.com.br;REGINA MARIA AGUIAR DE SOUZA FELLET;DIRETORA ADMINISTRATIVA E FINANCEIRA;6;22/12/1998
413330;4,25707E+12;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA;AMEP FREGUESIA OPERADORA DE PLANOS DE SAUDE LTDA;Medicina de Grupo;RUA ARAGUAIA;13;;JACAREPAGUA;Rio de Janeiro;RJ;22745270;21;39104000;;amep.operadora@uol.com.br;ANA MARLI VIDEIRA PEIXOTO FAZZINI;SOCIA GERENTE;4;16/03/2001
394734;6,78E+13;AMEPLAN ASSISTÃƒÅ NCIA MÃƒâ€°DICA PLANEJADA LTDA;AMEPLAN ASSITENCIA MÃƒâ€°DICA PLANEJADA  LTDA.;Medicina de Grupo;RUA UBATU MIRIM;45;3Ã‚Âº ANDAR;VILA GEA;SÃƒÂ£o Paulo;SP;4692010;11;33219700;;diretoria.financeira@ameplansaude.com.br;ALI HUSSEIN  IBRAHIN TAHA;SÃƒâ€œCIO DIRETOR;2;24/12/1998
321338;8,46E+13;AMERON - ASSISTÃƒÅ NCIA MÃƒâ€°DICA RONDÃƒâ€NIA S/A.;AMERON;Medicina de Grupo;AVENIDA CALAMA;2615;PRÃƒâ€°DIO;LIBERDADE;Porto Velho;RO;76803884;69;32117199;32217157;ouvidoria@ameron.com.br;PAULO ROBERTO DA SILVA;PRESIDENTE;5;22/12/1998
401081;6,87E+13;AMESC - ASSOCIAÃƒâ€¡ÃƒÆ’O MÃƒâ€°DICA ESPÃƒÂRITA CRISTÃƒÆ’;GRUPO CEMERU SAÃƒÅ¡DE;Medicina de Grupo;RUA FELIPE CARDOSO;1025;;SANTA CRUZ;Rio de Janeiro;RJ;23510006;21;24140013;;relacionamento.ans@cemeru.com;MAURO GOMES DIAS ;REPRESENTANTE;4;24/02/1999
418587;1,51E+13;AMHA SAUDE S/A;AMHA SAUDE S/A;Medicina de Grupo;RUA DOUTOR LUIZ ALBERTO VIEIRA DOS SANTO;141;1Ã‚Âº ANDAR;VILA SANTISTA;Atibaia;SP;12941030;;;;marcos.carvalho@amha.com.br;JOSE JAIR JAMES DE ARRUDA PINTO;DIRETOR ;5;08/10/2012
421731;2,92E+13;AMHE MED ASSISTENCIA A SAUDE LTDA - EPP;AMHE MED;Medicina de Grupo;RUA PEDRO JOSÃƒâ€° SENGER;230;;VILA HARO;Sorocaba;SP;18015000;15;30351030;;juridico@amhemed.com.br;MARCIO ALVES;Representante Perante ANS;6;13/06/2019
326305;2,93E+13;AMIL ASSISTÃƒÅ NCIA MÃƒâ€°DICA INTERNACIONAL S.A.;AMIL;Medicina de Grupo;Avenida Doutor Chucri Zaidan ;S/ NÃ‚Âº;6Ã‚Âº, 7Ã‚Âº, 8Ã‚Âº ,9Ã‚Âº, 16Ã‚Âº, 20Ã‚Âº e 23Ã‚Âº  andares ;VILA FRANCISCO;SÃƒÂ£o Paulo;SP;4711130;21;38054491;38051088;representanteans@amil.com.br;ALEXANDRE GINO CAMARGO ZORNIG;REPRESENTANTE LEGAL;1;17/12/1998
325465;2,09E+13;AMPARA ASSISTÃƒÅ NCIA MÃƒâ€°DICA PARAÃƒÂSO LTDA;AMPARA ;Medicina de Grupo;PÃƒâ€¡ COMENDADOR JOÃƒÆ’O PIO FIGUEIREDO WESTIN;107;;MOCOQUINHA;SÃƒÂ£o SebastiÃƒÂ£o do ParaÃƒÂ­so;MG;37957148;35;35393636;35393600;ampara@ampara.com.br;ANTONIO CARLOS MAFFEI BRAGIATO;DIRETOR PRESIDENTE;5;21/12/1998
422720;4,11E+13;AMPLA PLANOS DE SAUDE LTDA;AMPLA  ;Medicina de Grupo;Av. Nilo PeÃƒÂ§anha;50;Grupo 2501;CENTRO;Rio de Janeiro;RJ;20020906;21;39235406;;sidney.junior@amplasaude.com;SIDNEY STORCH DUTRA JUNIOR;SOCIO - ADMINISTRADOR;4;06/04/2021
423858;4,30E+13;AMPLITUDE PLANOS DE SAUDE LTDA ;VYDA SAUDE;Medicina de Grupo;RUA INCONFIDÃƒÅ NCIA ;488;SALA 201;CENTRO;Betim;MG;30411023;31;39235406;;amaral.diego@gmail.com;DIEGO ALVES AMARAL ;SOCIO ADMINISTRADOR ;6;14/11/2023
423319;4,60E+13;ANAFE SAUDE;ANAFE SAUDE;AutogestÃƒÂ£o;QUADRA 02 LOTE 03 1Ã‚Âº ANDAR PARTE ;9.0;JARDIM DA BARRAGEM I;JARDIM DA BARRAGEM I;ÃƒÂguas Lindas de GoiÃƒÂ¡s;GO;72920004;;;;financeiro@anafesaude.com.br;FLAVIO MURILO PINTO SIVINI;DIRETOR- PRESIDENTE;;26/08/2022
421871;3,01378E+12;ANGELI SISTEMAS DE SAUDE S.A.;;Medicina de Grupo;RODOVIA DO CAQUI;1150;SALA PRÃƒâ€œXIMA AO PRONTO SOCORRO;ARAÃƒâ€¡ATUBA;Campina Grande do Sul;PR;83430000;41;35154099;;atendimento@planodesaudeangeli.com.br;PEDRO ERNESTO CARON;Presidente;5;29/07/2021
424366;5,51E+13;AP ADMINISTRAÃƒâ€¡ÃƒÆ’O DE BENEFICIOS - SOCIEDADE SIMPLES UNIPESSOAL LIMITADA;AP ADMINISTRAÃƒâ€¡ÃƒÆ’O DE BENEFICIOS SOCIEDADE SIMPLES LIMITADA;Administradora de BenefÃƒÂ­cios;Rua Sete de Abril;277.0;conjuntos 11 e 12;Centro;SÃƒÂ£o Paulo;SP;1043000;11;33506000;;contato@apbeneficios.com.br;MIGUEL NOEL MEIRELLES;administrador;;24/03/2025
422932;3,58E+13;APLUS ADMINISTRADORA DE BENEFICIOS LTDA;;Administradora de BenefÃƒÂ­cios;AVENIDA PRESIDENTE VARGAS;534;SALA 1501;CENTRO;Rio de Janeiro;RJ;20071000;;;;contato@aplusadministradora.com.br;GABRIEL SILVA RODRIGUES;SOCIO ADMINISTRADOR/REPRE;;29/07/2021
421693;3,09E+13;AQQUER - ADMINISTRADORA DE BENEFÃƒÂCIOS LTDA;AQQUER ADMINISTRADORA;Administradora de BenefÃƒÂ­cios;Rua BarÃƒÂ£o de MelgaÃƒÂ§o;2754;Sala 406;Centro;CuiabÃƒÂ¡;MT;78020800;65;36244416;;aqquer@aqquer.com.br;GABRIEL DUTRA;REPRESENTANTE LEGAL;;24/05/2019
416070;1,75E+13;ARCELORMITTAL BRASIL S/A;ARCELORMITTAL BRASIL S/A;AutogestÃƒÂ£o;AV. CARANDAI;1115;;FUNCIONARIOS;Belo Horizonte;MG;30130915;27;33481463;;beneficios@arcelormittal.com.br;PATRICIA GARIGLIO DAHER RAYA;GERENTE DE BENEFICIOS;6;21/05/2007
422941;4,17E+13;ARL ADMINISTRADORA DE BENEFÃƒÂCIOS LTDA.;ARL ADMINISTRADORA DE BENEFÃƒÂCIOS;Administradora de BenefÃƒÂ­cios;Rua Visconde de Taunay;601.0;;Bom Retiro;SÃƒÂ£o Paulo;SP;1132000;11;32252193;;paralegalarl@gmail.com;ALVARO ANTÃƒâ€NIO REGIS LEMOS;Presidente;2;11/08/2021
352152;7,43507E+11;ARM PLANOS ODONTOLÃƒâ€œGICOS LTDA.;ARM ODONTOLOGIA;Odontologia de Grupo;RUA LOEFGREEN ;1291;CONJUNTO 62;VILA CLEMENTINO;SÃƒÂ£o Paulo;SP;4040031;11;35155400;35155400;alexandre@armodonto.onmicrosoft.com;ALEXANDRE DE SOUZA MARTINELLI;DIRETOR;4;21/12/1998
424340;5,73E+13;ARTYODONTO BRASIL  PLANO DE ASSISTÃƒÅ NCIA ODONTOLÃƒâ€œGICA LTDA;ARTYODONTO BRASIL;Odontologia de Grupo;AVENIDA PEDRO PAES DE AZEVEDO;615;LOJA 03;GRAGERU;Aracaju;SE;49025570;79;991300040;;artyodontobrasil@artyodontobrasil.com.br;HÃƒâ€°LCIO CASTRO PEREIRA;DIRETOR ADMINISTRATIVO E FINANCEIRO;;17/02/2025
417769;1,21E+13;ASSISTE ADMINISTRADORA DE BENEFÃƒÂCIOS LTDA;ASSISTE ;Administradora de BenefÃƒÂ­cios;RUA JOÃƒÆ’O HIPÃƒâ€œLITO DE AZEVEDO;18;SALA 3 - TÃƒâ€°RREO;CENTRO;ConceiÃƒÂ§ÃƒÂ£o do JacuÃƒÂ­pe;BA;44245000;71;30381100;;bruno@assisteadministradora.com.br;BRUNO EDELWEISS;SÃƒâ€œCIO-ADMINISTRADOR;5;20/12/2010
423912;5,32E+13;ASSISTÃƒÅ NCIA MÃƒâ€°DICA 12 DE OUTUBRO LTDA;;Medicina de Grupo;Rua Presidente Prudente;267;2Ã‚Âº andar;Jardim SÃƒÂ£o Paulo;Guarulhos;SP;7110140;11;49665132;;administrativo@12deoutubrosaude.com.br;GISELE ENCARNAÃƒâ€¡ÃƒÆ’O GUERRERO;Administradora;6;04/03/2024
325236;6,69E+13;ASSISTÃƒÅ NCIA MÃƒâ€°DICA SÃƒÆ’O MIGUEL LTDA;SÃƒÆ’O MIGUEL SAÃƒÅ¡DE;Medicina de Grupo;RUA ÃƒÂLVARO CORREA BORGES;43;ED. GILBERTO MAIDA MELLACE;VILA DR. EIRAS;SÃƒÂ£o Paulo;SP;8010200;;;;saomiguelsaude@uol.com.br;CARLOS ALBERTO FERNANDES MELLACI;DIRETOR;4;21/12/1998
365297;1,87259E+12;ASSISTÃƒÅ NCIA ODONTOLÃƒâ€œGICA ESPECIALIZADA LTDA;RISO PLANO ODONTOLOGICO;Odontologia de Grupo;AVENIDA UNIVERSIDADE;28;QUADRA 03;COHAFUMA;SÃƒÂ£o LuÃƒÂ­s;MA;65070650;;;;planoriso@planoriso.com.br;MARCIA CHRISTINA VÃƒâ€°RAS BARBOSA;DIRETORA TÃƒâ€°CNICA;6;22/12/1998
423432;4,73E+13;ASSOC DE ASSIST Ãƒâ‚¬ SAÃƒÅ¡DE DOS SERV DAS UNIV E INST FED, EST E/OU FAC PART EM PE;ADUFEPE SAÃƒÅ¡DE;AutogestÃƒÂ£o;Rua Bom Pastor;430.0;Sala 11;Iputinga;Recife;PE;50670260;81;86903080;;adufepesaude@gmail.com;JOSÃƒâ€° CRISTOVAM MARTINS VIEIRA ;presidente;;27/12/2022
409634;7,36E+13;ASSOCIACAO CIVIL PRÃƒâ€œ-SAÃƒÅ¡DE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA;PRO-SAUDE;Medicina de Grupo;RUA SENADOR PINHEIRO MACHADO;446;;CENTRO;Ponta Grossa;PR;84040310;;;;administrador@prosaudeuepg.com.br;JEANE SILVANE ECKERT;REPRESENTANTE;6;05/11/1999
360783;5,90E+13;ASSOCIACAO DE SAUDE HOLAMBRA;ASSOCIAÃƒâ€¡ÃƒÆ’O DE SAÃƒÅ¡DE HOLAMBRA;Medicina de Grupo;ALAMEDA MAURÃƒÂCIO DE NASSAU;241;CX  POSTAL: 130;CENTRO;Holambra;SP;13825000;19;38022049;38022049;ash@holnet.com.br;MAURICIO FRANCISCO MARIA KIEVITSBOSCH;PRESIDENTE;5;03/02/1999
317632;6,26E+13;ASSOCIACAO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DE SAO PAULO;ASSOCIAÃƒâ€¡ÃƒÆ’O DOS AGENTES FISCAIS DE RENDAS DO EST. DE SP;AutogestÃƒÂ£o;AV. BRIGADEIRO LUIZ ANTONIO;4843;;JARDIM PAULISTA;SÃƒÂ£o Paulo;SP;1401002;;;;ans@afresp.org.br;ALEXANDRE LANIA GONCALVES;2Ã‚Âª TESOUREIRO;2;16/12/1998
343129;1,31E+13;ASSOCIACAO DOS PROFESSORES UNIVERSITÃƒÂRIOS DA BAHIA;APUB SAÃƒÅ¡DE;AutogestÃƒÂ£o;AV. ANTONIO CARLOS MAGALHAES;3213;EDIFÃƒÂCIO GOLDEN PLAZA,  SALA 405 a 408;PARQUE BELA VISTA;Salvador;BA;40280000;71;21039200;32473381;apubsaude@apubsaude.com.br;SILVIA MARIA LEITE DE ALMEIDA;PRESIDENTE DO CONSELHO DELIBERATIVO ;5;28/12/1998
420093;1,31E+13;ASSOCIACAO DOS SERVIDORES DA EMDAGRO - ASSEM;ASSEM;AutogestÃƒÂ£o;AV DOUTOR CARLOS RODRIGUES DA CRUZ;401;;CAPUCHO;Aracaju;SE;49081015;79;32342692;32342692;assem@assemse.com.br;ELIAS FERNANDO GOES FELIPE;PRESIDENTE;6;14/04/2016
406635;7,16E+13;ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE ITAPETININGA;APAS/ITAPETININGA;AutogestÃƒÂ£o;RUA DR. COUTINHO;535;;CENTRO;Itapetininga;SP;18200358;15;34721800;;contato@apasitapetininga.com.br;CARLOS ROGÃƒâ€°RIO DE MORAIS;REPRESENTANTE;5;21/07/1999
410608;2,0072E+11;ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS);APAS - PRESIDENTE PRUDENTE;AutogestÃƒÂ£o;RUA PIONEIRO JOSÃƒâ€° LORENCETE;420;;JARDIM BONGIOVANI;Presidente Prudente;SP;19050350;;;;apas@apasprudente.com.br;PATRÃƒÂCIA ELAINE MACHADO;DIRETORA-PRESIDENTE;5;27/01/2000
417599;9,27E+13;ASSOCIAÃƒâ€¡AO DOS FUNCIONARIOS PUBLICOS DO ESTADO DO RIO GRANDE DO SUL;VERTE SAUDE - AFPERGS;Filantropia;RUA DOS ANDRADAS;846;;CENTRO;Porto Alegre;RS;90020006;51;32841500;;najara.bandeira@afpergs.com.br;ROMEU FUCHS;Diretor Presidente;4;28/09/2010
333867;8,98E+13;ASSOCIAÃƒâ€¡AO UNISAUDE MARAU;UNISAÃƒÅ¡DE;Medicina de Grupo;AVENIDA JULIO BORELLA;1240;CONJUNTO 406;CENTRO;Marau;RS;99150000;54;33422179;33428002;gerencia@unisaudemarau.com.br;RUDIMAR LUIS RODEGHERO;DIRETOR GERAL;6;31/12/1998
